,ax,ay,az,gx,gy,gz,label,segment_ID,animal_ID,timestamp_ms
0,-4.10199,8.06501,-3.7354,9.87805,-30.0,15.6707,walking,1,fG1,1
1,-4.31763,8.42441,-3.82644,4.5122,-29.5122,12.2561,walking,1,fG1,11
2,-4.59078,8.66641,-3.80248,1.21951,-27.8659,9.08537,walking,1,fG1,21
3,-4.83038,8.85809,-3.46944,2.31707,-26.3415,7.31707,walking,1,fG1,31
4,-4.90945,8.90601,-3.34005,8.35366,-24.5122,7.2561,walking,1,fG1,41
5,-4.82319,8.83892,-3.11483,18.8415,-21.7073,9.14634,walking,1,fG1,51
6,-4.50691,8.99226,-2.74824,26.8902,-21.2195,13.4756,walking,1,fG1,61
7,-4.22179,9.10967,-2.42956,34.6341,-31.5854,21.5244,walking,1,fG1,71
8,-3.46704,9.42115,-2.03901,42.8049,-52.6829,33.5976,walking,1,fG1,81
9,-2.68115,9.91234,-1.54543,44.0854,-76.7683,49.7561,walking,1,fG1,91
10,-2.33372,10.4706,-1.27229,39.4512,-97.1951,67.378,walking,1,fG1,101
11,-2.61166,10.8588,-1.37771,33.0488,-113.293,82.378,walking,1,fG1,111
12,-3.09805,10.9858,-1.75868,26.2195,-120.793,90.7317,walking,1,fG1,121
13,-3.46944,10.9043,-2.09891,16.0366,-115.061,91.2805,walking,1,fG1,131
14,-3.89353,10.497,-2.43915,2.7439,-96.0976,84.6341,walking,1,fG1,141
15,-4.2745,9.84285,-2.7099,-9.32927,-70.4268,72.439,walking,1,fG1,151
16,-4.48775,9.06415,-2.91596,-18.8415,-44.0854,57.9878,walking,1,fG1,161
17,-4.60515,8.23991,-3.19629,-24.7561,-21.5854,44.0854,walking,1,fG1,171
18,-4.71776,7.57142,-3.54611,-27.3171,-7.13415,32.6829,walking,1,fG1,181
19,-4.91424,7.0443,-3.86478,-27.1341,-2.2561,23.4756,walking,1,fG1,191
20,-5.16103,6.65375,-4.24335,-21.2805,-6.64634,16.2195,walking,1,fG1,201
21,-5.25927,6.33747,-4.67943,-7.0122,-19.2073,11.0976,walking,1,fG1,211
22,-5.00529,6.12902,-5.07238,11.0976,-36.8902,9.02439,walking,1,fG1,221
23,-4.52369,5.97807,-5.25208,25.1829,-54.6341,10.122,walking,1,fG1,231
24,-4.16908,5.78639,-5.33115,35.061,-69.5122,12.1951,walking,1,fG1,241
25,-3.8504,5.72409,-5.3599,43.8415,-82.5,13.0488,walking,1,fG1,251
26,-3.53892,5.93255,-5.25927,48.3537,-92.8049,11.2805,walking,1,fG1,261
27,-3.35203,6.31591,-5.33115,50.1829,-97.6829,6.64634,walking,1,fG1,271
28,-3.12201,6.84783,-5.44136,50.4268,-95.061,-0.0609756,walking,1,fG1,281
29,-3.01899,7.43006,-5.38625,44.6341,-85.6707,-7.62195,walking,1,fG1,291
30,-3.20588,7.8254,-5.51324,35.5488,-72.7439,-16.4634,walking,1,fG1,301
31,-3.47423,8.14887,-5.48689,30.6098,-58.4756,-27.3171,walking,1,fG1,311
32,-3.84082,8.43878,-5.57554,31.5244,-46.9512,-39.0854,walking,1,fG1,321
33,-3.87437,8.70953,-5.7816,41.6463,-40.3659,-49.6951,walking,1,fG1,331
34,-3.50059,9.10967,-5.56116,56.9512,-37.3171,-55.2439,walking,1,fG1,341
35,-2.88481,9.74222,-4.91903,73.4146,-45.7317,-50.061,walking,1,fG1,351
36,-2.33133,10.7174,-4.60994,80.3659,-68.9024,-32.6829,walking,1,fG1,361
37,-1.80181,11.7908,-4.98612,68.1098,-79.0244,-13.7195,walking,1,fG1,371
38,-1.76826,12.4401,-4.67224,46.9512,-66.5244,-2.0122,walking,1,fG1,381
39,-1.95276,12.7708,-3.86478,26.4634,-47.439,2.13415,walking,1,fG1,391
40,-1.91202,12.9289,-3.39995,6.03659,-19.6341,0.243902,walking,1,fG1,401
41,-1.70597,12.4761,-2.83449,-12.7439,24.1463,-6.52439,walking,1,fG1,411
42,-1.99349,11.7309,-1.84973,-25.6707,71.5854,-15.061,walking,1,fG1,421
43,-2.99742,11.1151,-1.67003,-33.1707,101.585,-21.2805,walking,1,fG1,431
44,-4.09959,10.9953,-2.5278,-37.2561,109.756,-25.8537,walking,1,fG1,441
45,-4.8184,10.8995,-3.3113,-43.7805,109.024,-29.0854,walking,1,fG1,451
46,-5.10832,10.3484,-3.1891,-51.8293,103.72,-29.878,walking,1,fG1,461
47,-4.98612,9.20072,-2.51103,-54.939,96.4024,-27.5,walking,1,fG1,471
48,-4.46139,7.7679,-1.84494,-46.0366,90.1829,-22.3171,walking,1,fG1,481
49,-3.80248,6.55551,-1.46157,-30.122,89.0244,-16.3415,walking,1,fG1,491
50,-3.38318,5.73128,-1.53825,-11.6463,93.4146,-11.5854,walking,1,fG1,501
51,-3.4335,5.70732,-2.24747,2.37805,96.1585,-8.71951,walking,1,fG1,511
52,-3.88874,6.63937,-3.55569,1.03659,88.9024,-7.5,walking,1,fG1,521
53,-4.68662,7.91166,-5.00049,-24.3293,74.3293,-8.96341,walking,1,fG1,531
54,-5.80077,8.93236,-5.9014,-56.8902,59.7561,-15.061,walking,1,fG1,541
55,-6.71605,9.42594,-5.68096,-82.1341,43.7805,-23.8415,walking,1,fG1,551
56,-6.97242,9.35646,-4.67943,-92.9268,24.3902,-30.8537,walking,1,fG1,561
57,-6.42133,9.01143,-3.40714,-88.9024,7.31707,-33.5976,walking,1,fG1,571
58,-4.68662,8.74547,-2.30737,-76.1585,4.63415,-33.2317,walking,1,fG1,581
59,-1.81858,9.10488,-1.74191,-67.9268,28.9634,-31.7073,walking,1,fG1,591
60,0.71641,9.97943,-2.27143,-73.0488,74.3902,-29.3293,walking,1,fG1,601
61,1.89286,10.8923,-3.23942,-91.0366,122.012,-26.7683,walking,1,fG1,611
62,-0.285126,9.85244,-3.491,-104.329,148.354,-23.1707,walking,1,fG1,621
63,-3.19629,8.29263,-2.84887,-87.3171,115.793,-19.6951,walking,1,fG1,631
64,-3.91031,8.28783,-3.55569,-66.2195,72.9878,-16.5854,walking,1,fG1,641
65,-4.22179,8.55379,-4.26252,-63.4146,69.878,-10.8537,walking,1,fG1,651
66,-5.2401,8.00031,-4.18585,-69.5122,84.8171,-1.40244,walking,1,fG1,661
67,-6.57228,7.05628,-3.66831,-57.3171,79.1463,10.6098,walking,1,fG1,671
68,-6.73042,6.70407,-3.07649,-28.9634,45.7927,23.2927,walking,1,fG1,681
69,-5.5971,7.02274,-2.93992,-2.13415,14.3293,34.7561,walking,1,fG1,691
70,-4.34878,7.39412,-2.46311,12.3171,6.28049,43.9024,walking,1,fG1,701
71,-4.1523,7.14733,-1.9863,22.622,9.02439,50.4268,walking,1,fG1,711
72,-4.36076,6.97002,-1.73232,38.2927,4.57317,53.9024,walking,1,fG1,721
73,-4.47337,7.17608,-1.85931,53.5976,-3.41463,54.7561,walking,1,fG1,731
74,-4.43503,7.83978,-1.79702,64.6341,-2.92683,52.5,walking,1,fG1,741
75,-4.40628,8.4316,-1.48074,67.6829,7.7439,47.1951,walking,1,fG1,751
